"id_9","answer_9","date_9"
"49","2","0000-00-00"
"50","3","2023-02-28"
"51","3","2023-02-28"
"52","2","2023-03-01"
"53","2","2023-09-13"
"54","2","2023-09-15"
"55","3","2023-10-03"
"56","4","2023-10-03"
"57","3","2023-10-03"
"58","3","2023-10-03"
"59","3","2023-10-03"
"60","3","2023-10-03"
"61","3","2023-10-03"
"62","3","2023-10-05"
"63","3","2023-10-05"
"64","3","2023-10-06"
"65","3","2023-10-06"
"66","3","2023-10-06"
"67","3","2023-10-06"
"68","4","2023-10-16"
"69","4","2023-10-16"
"70","4","2023-10-16"
"71","4","2023-10-16"
"72","4","2023-10-24"
"73","4","2023-10-24"
"74","1","2023-10-24"
"75","1","2023-10-24"
"76","3","2023-10-24"
"77","3","2023-10-24"
"78","4","2023-10-24"
"79","4","2023-10-24"
"80","4","2023-10-24"
"81","3","2023-10-24"
"82","4","2023-10-24"
"83","4","2023-10-25"
"84","4","2023-10-25"
"85","3","2023-10-25"
"86","4","2023-10-25"
"87","4","2023-10-25"
"88","4","2023-10-25"
"89","3","2023-11-21"
"90","3","2023-12-04"
"91","3","2023-12-04"
"92","4","2023-12-04"
"93","2","2023-12-04"
"94","3","2023-12-04"
"95","3","2023-12-04"
"96","2","2023-12-04"
"97","3","2023-12-04"
"98","3","2023-12-04"
"99","3","2023-12-04"
"100","3","2023-12-04"
"101","3","2023-12-04"
"102","3","2023-12-04"
"103","3","2023-12-04"
"104","3","2023-12-04"
"105","3","2023-12-04"
"106","3","2023-12-04"
"107","2","2023-12-04"
"108","3","2023-12-04"
"109","3","2023-12-04"
"110","4","2023-12-04"
"111","3","2023-12-04"
"112","3","2023-12-04"
"113","3","2023-12-04"
"114","4","2023-12-04"
"115","3","2023-12-04"
"116","4","2023-12-04"
"117","4","2023-12-04"
"118","3","2023-12-04"
"119","4","2023-12-04"
"120","3","2023-12-04"
"121","3","2023-12-04"
"122","3","2023-12-04"
"123","3","2023-12-04"
"124","3","2023-12-04"
"125","4","2023-12-04"
"126","3","2023-12-04"
"127","3","2023-12-04"
"128","4","2023-12-04"
"129","4","2023-12-04"
"130","3","2023-12-04"
"131","3","2023-12-04"
"132","3","2023-12-04"
"133","4","2023-12-04"
"134","3","2023-12-04"
"135","2","2023-12-04"
"136","3","2023-12-04"
"137","2","2023-12-04"
"138","4","2023-12-04"
"139","2","2023-12-04"
"140","4","2023-12-04"
"141","3","2023-12-04"
"142","4","2023-12-04"
"143","3","2023-12-04"
"144","4","2023-12-04"
"145","3","2023-12-04"
"146","3","2023-12-04"
"147","4","2023-12-04"
"148","3","2023-12-04"
"149","4","2023-12-04"
"150","4","2023-12-04"
"151","3","2023-12-04"
"152","3","2023-12-04"
"153","4","2023-12-04"
"154","3","2023-12-04"
"155","2","2023-12-04"
"156","3","2023-12-04"
"157","3","2023-12-04"
"158","4","2023-12-04"
"159","3","2023-12-04"
"160","3","2023-12-04"
"161","3","2023-12-04"
"162","4","2023-12-04"
"163","3","2023-12-04"
"164","4","2023-12-04"
"165","4","2023-12-04"
"166","3","2023-12-04"
"167","3","2023-12-04"
"168","4","2023-12-04"
"169","3","2023-12-04"
"170","4","2023-12-04"
"171","3","2023-12-04"
"172","3","2023-12-04"
"173","3","2023-12-04"
"174","3","2023-12-04"
"175","3","2023-12-04"
"176","3","2023-12-04"
"177","","2023-12-04"
"178","4","2023-12-04"
"179","3","2023-12-04"
"180","4","2023-12-04"
"181","3","2023-12-04"
"182","4","2023-12-04"
"183","3","2023-12-04"
"184","4","2023-12-04"
"185","3","2023-12-04"
"186","3","2023-12-04"
"187","3","2023-12-04"
"188","3","2023-12-04"
"189","3","2023-12-04"
"190","3","2023-12-04"
"191","3","2023-12-04"
"192","4","2023-12-04"
"193","4","2023-12-04"
"194","3","2023-12-04"
"195","3","2023-12-04"
"196","3","2023-12-04"
"197","3","2023-12-04"
"198","3","2023-12-04"
"199","2","2023-12-04"
"200","3","2023-12-04"
